STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,TOBS,TSUN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT22
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/1/13,0.58,,,50,23,44,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/2/13,0,,,45,38,44,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/3/13,0,,,44,27,38,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/4/13,0,,,50,27,28,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/5/13,0.01,,,49,27,29,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/6/13,0,,,48,29,40,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/7/13,0,,,51,27,30,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/8/13,0,,,54,30,33,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/9/13,0,,,67,33,35,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/10/13,0.05,,,64,35,46,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/11/13,0.25,,,52,41,42,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/12/13,0,,,70,42,50,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/13/13,0,,,74,50,52,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/14/13,0,,,70,45,57,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/15/13,0.06,,,57,44,45,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/16/13,0,,,51,44,44,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/17/13,1.22,0,,50,30,49,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/18/13,0,,,49,23,30,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/19/13,0,,,53,23,24,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/20/13,0,,,63,24,39,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/21/13,0,,,59,28,28,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/22/13,0,,,39,17,31,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/23/13,0,,,39,17,17,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/24/13,0,,,37,17,33,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/25/13,0.45,0.5,,33,21,21,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/26/13,0,,,38,21,26,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/27/13,0,,,40,26,27,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/28/13,0,,,52,27,33,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/29/13,0,,,73,33,48,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/30/13,0.35,,,72,46,63,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,1/31/13,0,,,63,35,46,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/1/13,0,,,46,18,41,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/2/13,0,,,44,18,18,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/3/13,0,,,49,18,38,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/4/13,0,,,48,24,25,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/5/13,0,,,62,25,38,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/6/13,0,,,62,29,30,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/7/13,0.96,,,49,30,36,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/8/13,0,,,55,30,41,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/9/13,0,,,52,23,30,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/10/13,,,,53,23,23,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/11/13,,,,62,23,52,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/12/13,0.18,,,61,43,48,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/13/13,0.01,,,48,32,43,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/14/13,0,,,51,28,32,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/15/13,0,,,62,28,28,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/16/13,0.6,0.6,,41,26,41,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/17/13,0,,,41,17,26,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/18/13,0,,,51,17,17,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/19/13,0.1,,,53,17,36,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/20/13,0,,,52,25,31,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/21/13,0.28,,,54,24,25,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/22/13,,,,37,25,32,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/23/13,,,,43,32,37,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/24/13,0,,,61,33,43,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/25/13,,,,43,32,33,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/26/13,,,,58,33,36,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/27/13,0,,,59,34,43,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,2/28/13,0,,,48,29,37,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/1/13,0,,,52,26,30,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/2/13,0,,,49,26,26,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/3/13,0,,,46,26,28,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/4/13,0,,,49,26,26,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/5/13,0.32,,,51,26,33,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/6/13,0,,,46,33,37,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/7/13,0,,,52,32,34,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/8/13,0,,,55,33,33,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/9/13,0,,,62,29,33,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/10/13,0,,,67,29,29,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/11/13,,,,70,29,37,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/12/13,,,,72,35,59,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/13/13,0,,,59,29,37,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/14/13,0,,,53,28,31,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/15/13,0,,,63,28,30,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/16/13,0,,,79,30,51,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/17/13,0.05,,,59,37,53,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/18/13,0.22,,,53,37,37,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/19/13,0,,,66,37,41,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/20/13,0,,,56,35,41,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/21/13,0,,,47,24,37,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/22/13,0,,,53,24,24,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/23/13,,,,53,24,39,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/24/13,,,,40,35,40,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/25/13,0,,,48,33,36,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/26/13,0,,,49,33,33,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,3/27/13,0,,,53,31,35,,,,,,,,,,,,,,
